KT3D ESTIMATES WITH:  Normal Score Transform: UTF-A Oil Sand Formation Data     
    2   50   30   20
Estimate
EstimationVariance
 645.48810      1.1070104    
 633.17639      1.0926037    
 648.53772      1.0791759    
 637.86243      1.0680997    
 630.09161      1.0605713    
 604.41510      1.0325741    
 576.02576      1.0296211    
 526.46326      1.0437518    
 532.79639      1.0440800    
 536.69061      1.0446137    
 449.57483      1.0445621    
 459.01843      1.0429860    
 447.68744      1.0278977    
 475.02994      1.0187314    
 764.76776      1.0619335    
 692.01111      1.0347217    
 676.07141      1.0208344    
 534.41229      1.0272421    
 543.04199      1.0453753    
 537.82886      1.0476559    
 535.28906      1.0525911    
 534.37067      1.0573372    
 596.84662      1.0612134    
 1162.6963      1.1014743    
 953.70288      1.0869924    
 1454.5547      1.0764391    
 2059.0623      1.0704231    
 1930.4337      1.0607960    
 1719.7655      1.0524347    
 2154.7603      1.0635451    
 2160.8325      1.0812192    
 2158.6821      1.1026208    
 2154.1311      1.1259930    
 2355.1472      1.1513445    
 2552.8281      1.1777304    
 2506.0464      1.1002003    
 3423.5847      1.0889462    
 3647.4551      1.0827191    
 2789.3533      1.1299745    
 2807.5879      1.1072583    
 2825.4363      1.0863225    
 2847.9714      1.0689318    
 2875.6550      1.0605103    
 2843.5032      1.0712912    
 2822.5923      1.0894253    
 2804.7791      1.1107237    
 2786.4587      1.1336234    
 2767.9985      1.1572624    
 2750.1316      1.1810503    
 2733.3057      1.2045300    
 644.94043      1.1063627    
 632.65125      1.0919963    
 621.17828      1.0788759    
 637.45911      1.0676862    
 630.53510      1.0607764    
 589.06470      1.0345472    
 641.31476      1.0302799    
 512.93268      1.0330704    
 533.22809      1.0441951    
 590.22125      1.0449681    
 449.98343      1.0445300    
 459.43567      1.0428760    
 448.22037      1.0276698    
 459.79630      1.0200741    
 764.51227      1.0610973    
 691.79089      1.0339339    
 643.18579      1.0199927    
 534.56281      1.0266293    
 542.64600      1.0453397    
 537.67944      1.0478472    
 535.21729      1.0528150    
 534.36359      1.0575185    
 854.07874      1.0619128    
 1088.9919      1.0956748    
 929.77576      1.0821544    
 1456.6351      1.0761214    
 2062.3752      1.0702753    
 1932.9359      1.0606695    
 1719.9520      1.0527623    
 2155.3223      1.0642025    
 2160.8494      1.0820942    
 2158.5088      1.1036112    
 2153.9187      1.1270424    
 2355.0642      1.1524105    
 2552.9873      1.1787858    
 2553.7075      1.0968229    
 3531.3640      1.0890434    
 3412.5974      1.0835601    
 2790.1624      1.1289577    
 2808.3699      1.1062969    
 2826.2437      1.0854689    
 2849.3240      1.0683041    
 2875.1714      1.0606722    
 2842.3469      1.0719805    
 2821.8059      1.0903065    
 2803.9905      1.1116996    
 2785.6475      1.1346470    
 2767.1997      1.1583035    
 2749.3718      1.1820868    
 2732.5972      1.2055442    
 657.74042      1.1060637    
 632.12781      1.0913916    
 620.70697      1.0783424    
 637.06250      1.0672798    
 630.35785      1.0606146    
 571.17029      1.0362577    
 741.32367      1.0311019    
 543.62506      1.0332268    
 533.66113      1.0443084    
 590.64075      1.0450137    
 450.39264      1.0444942    
 459.85318      1.0427624    
 448.75320      1.0274386    
 460.35483      1.0197245    
 817.45300      1.0606496    
 687.37823      1.0332985    
 643.01855      1.0192758    
 534.72418      1.0260304    
