Semivariogram           tail:value        head:value                       direction  1 
   1        1.000      0.26773    59400        0.06612        0.06333
   2        2.000      0.33271    58800        0.06716        0.06135
   3        3.000      0.39294    58200        0.06822        0.05929
   4        4.000      0.44712    57600        0.06931        0.05711
   5        5.000      0.49264    57000        0.07054        0.05485
   6        6.000      0.52978    56400        0.07181        0.05247
   7        7.000      0.56058    55800        0.07315        0.04994
   8        8.000      0.58672    55200        0.07454        0.04735
   9        9.000      0.60913    54600        0.07602        0.04464
  10       10.000      0.62883    54000        0.07751        0.04178
  11       11.000      0.64644    53400        0.07902        0.03882
  12       12.000      0.66239    52800        0.08058        0.03578
  13       13.000      0.67704    52200        0.08215        0.03265
  14       14.000      0.69072    51600        0.08392        0.02936
  15       15.000      0.70328    51000        0.08573        0.02600
  16       16.000      0.71496    50400        0.08757        0.02255
  17       17.000      0.72625    49800        0.08947        0.01901
  18       18.000      0.73640    49200        0.09146        0.01537
  19       19.000      0.74615    48600        0.09352        0.01163
  20       20.000      0.75531    48000        0.09571        0.00780
  21       21.000      0.76384    47400        0.09799        0.00389
  22       22.000      0.77227    46800        0.10037        0.00001
  23       23.000      0.78019    46200        0.10292       -0.00395
  24       24.000      0.78785    45600        0.10565       -0.00797
  25       25.000      0.79521    45000        0.10848       -0.01193
  26       26.000      0.80243    44400        0.11152       -0.01597
  27       27.000      0.80929    43800        0.11466       -0.02003
  28       28.000      0.81567    43200        0.11799       -0.02404
  29       29.000      0.82183    42600        0.12140       -0.02806
  30       30.000      0.82787    42000        0.12493       -0.03208
  31       31.000      0.83388    41400        0.12858       -0.03606
  32       32.000      0.83933    40800        0.13239       -0.04002
  33       33.000      0.84503    40200        0.13642       -0.04392
  34       34.000      0.84999    39600        0.14057       -0.04786
  35       35.000      0.85542    39000        0.14487       -0.05179
  36       36.000      0.86048    38400        0.14931       -0.05568
  37       37.000      0.86569    37800        0.15391       -0.05961
  38       38.000      0.87079    37200        0.15873       -0.06342
  39       39.000      0.87572    36600        0.16371       -0.06724
  40       40.000      0.88033    36000        0.16881       -0.07105
  41       41.000      0.88482    35400        0.17405       -0.07476
  42       42.000      0.88915    34800        0.17943       -0.07848
  43       43.000      0.89361    34200        0.18502       -0.08225
  44       44.000      0.89804    33600        0.19074       -0.08585
  45       45.000      0.90178    33000        0.19666       -0.08921
  46       46.000      0.90549    32400        0.20273       -0.09210
  47       47.000      0.90880    31800        0.20896       -0.09446
  48       48.000      0.91236    31200        0.21537       -0.09633
  49       49.000      0.91522    30600        0.22176       -0.09770
  50       50.000      0.91784    30000        0.22830       -0.09805
Semivariogram           tail:value        head:value                       direction  2 
   1        1.000      0.31661    58000        0.06461        0.06592
   2        2.000      0.42262    56000        0.06404        0.06708
   3        3.000      0.51515    54000        0.06337        0.06870
   4        4.000      0.58656    52000        0.06271        0.07090
   5        5.000      0.64176    50000        0.06172        0.07387
   6        6.000      0.68328    48000        0.06018        0.07769
   7        7.000      0.71360    46000        0.05821        0.08230
   8        8.000      0.73493    44000        0.05562        0.08760
   9        9.000      0.74964    42000        0.05220        0.09343
  10       10.000      0.75997    40000        0.04785        0.09940
  11       11.000      0.76683    38000        0.04263        0.10455
  12       12.000      0.77080    36000        0.03652        0.10839
  13       13.000      0.77352    34000        0.02989        0.11084
  14       14.000      0.77517    32000        0.02348        0.11201
  15       15.000      0.77663    30000        0.01757        0.11268
  16       16.000      0.77827    28000        0.01155        0.11273
  17       17.000      0.77879    26000        0.00534        0.11120
  18       18.000      0.77843    24000        0.00024        0.10803
  19       19.000      0.77854    22000       -0.00297        0.10399
  20       20.000      0.77939    20000       -0.00341        0.09967
  21       21.000      0.77990    18000       -0.00092        0.09529
  22       22.000      0.78115    16000        0.00333        0.09126
  23       23.000      0.78303    14000        0.00869        0.08784
  24       24.000      0.78430    12000        0.01486        0.08490
  25       25.000      0.78827    10000        0.02139        0.08218
  26       26.000      0.79571     8000        0.02759        0.08082
  27       27.000      0.80576     6000        0.03301        0.08090
  28       28.000      0.81856     4000        0.03774        0.08029
  29       29.000      0.82769     2000        0.04199        0.08009
  30       30.000      0.00000        0        0.00000        0.00000
  31       31.000      0.00000        0        0.00000        0.00000
  32       32.000      0.00000        0        0.00000        0.00000
  33       33.000      0.00000        0        0.00000        0.00000
  34       34.000      0.00000        0        0.00000        0.00000
  35       35.000      0.00000        0        0.00000        0.00000
  36       36.000      0.00000        0        0.00000        0.00000
  37       37.000      0.00000        0        0.00000        0.00000
  38       38.000      0.00000        0        0.00000        0.00000
  39       39.000      0.00000        0        0.00000        0.00000
  40       40.000      0.00000        0        0.00000        0.00000
  41       41.000      0.00000        0        0.00000        0.00000
  42       42.000      0.00000        0        0.00000        0.00000
  43       43.000      0.00000        0        0.00000        0.00000
  44       44.000      0.00000        0        0.00000        0.00000
  45       45.000      0.00000        0        0.00000        0.00000
  46       46.000      0.00000        0        0.00000        0.00000
  47       47.000      0.00000        0        0.00000        0.00000
  48       48.000      0.00000        0        0.00000        0.00000
  49       49.000      0.00000        0        0.00000        0.00000
  50       50.000      0.00000        0        0.00000        0.00000
Semivariogram           tail:value        head:value                       direction  3 
   1        1.000      0.57922    57000        0.06906        0.08710
   2        2.000      0.69440    54000        0.07101        0.11337
   3        3.000      0.78613    51000        0.07606        0.14396
   4        4.000      0.86784    48000        0.08475        0.17250
   5        5.000      0.93693    45000        0.09603        0.19919
   6        6.000      0.99144    42000        0.09693        0.22143
   7        7.000      1.03275    39000        0.08413        0.23305
   8        8.000      1.05240    36000        0.06027        0.22453
   9        9.000      1.04841    33000        0.01746        0.20723
  10       10.000      1.01897    30000       -0.04402        0.17427
  11       11.000      0.98286    27000       -0.10855        0.12339
  12       12.000      0.95372    24000       -0.17397        0.07242
  13       13.000      0.93817    21000       -0.24673        0.02983
  14       14.000      0.94049    18000       -0.29959       -0.00908
  15       15.000      0.96070    15000       -0.33707       -0.02757
  16       16.000      0.99136    12000       -0.36436       -0.01336
  17       17.000      1.01485     9000       -0.38157        0.00316
  18       18.000      1.01739     6000       -0.36905        0.01215
  19       19.000      1.00394     3000       -0.35239       -0.00954
  20       20.000      0.00000        0        0.00000        0.00000
  21       21.000      0.00000        0        0.00000        0.00000
  22       22.000      0.00000        0        0.00000        0.00000
  23       23.000      0.00000        0        0.00000        0.00000
  24       24.000      0.00000        0        0.00000        0.00000
  25       25.000      0.00000        0        0.00000        0.00000
  26       26.000      0.00000        0        0.00000        0.00000
  27       27.000      0.00000        0        0.00000        0.00000
  28       28.000      0.00000        0        0.00000        0.00000
  29       29.000      0.00000        0        0.00000        0.00000
  30       30.000      0.00000        0        0.00000        0.00000
  31       31.000      0.00000        0        0.00000        0.00000
  32       32.000      0.00000        0        0.00000        0.00000
  33       33.000      0.00000        0        0.00000        0.00000
  34       34.000      0.00000        0        0.00000        0.00000
  35       35.000      0.00000        0        0.00000        0.00000
  36       36.000      0.00000        0        0.00000        0.00000
  37       37.000      0.00000        0        0.00000        0.00000
  38       38.000      0.00000        0        0.00000        0.00000
  39       39.000      0.00000        0        0.00000        0.00000
  40       40.000      0.00000        0        0.00000        0.00000
  41       41.000      0.00000        0        0.00000        0.00000
  42       42.000      0.00000        0        0.00000        0.00000
  43       43.000      0.00000        0        0.00000        0.00000
  44       44.000      0.00000        0        0.00000        0.00000
  45       45.000      0.00000        0        0.00000        0.00000
  46       46.000      0.00000        0        0.00000        0.00000
  47       47.000      0.00000        0        0.00000        0.00000
  48       48.000      0.00000        0        0.00000        0.00000
  49       49.000      0.00000        0        0.00000        0.00000
  50       50.000      0.00000        0        0.00000        0.00000
