X	Y	Z	Fi
0.5	45.5	270.5	26.120001
1.5	45.5	270.5	18.574091
2.5	45.5	270.5	22.468178
3.5	45.5	270.5	24.996037
4.5	45.5	270.5	21.015154
5.5	45.5	270.5	25.879999
6.5	45.5	270.5	25.745098
7.5	45.5	270.5	22.99358
8.5	45.5	270.5	24.757755
9.5	45.5	270.5	25.370001
10.5	45.5	270.5	26.719999
11.5	45.5	270.5	25.25
12.5	45.5	270.5	27.493998
13.5	45.5	270.5	24.40115
14.5	45.5	270.5	27.370001
15.5	45.5	270.5	23.244299
16.5	45.5	270.5	26.132242
17.5	45.5	270.5	26.145943
18.5	45.5	270.5	26.76
19.5	45.5	270.5	25.723759
20.5	45.5	270.5	25.110931
21.5	45.5	270.5	21.11062
22.5	45.5	270.5	26.147175
23.5	45.5	270.5	20.194975
24.5	45.5	270.5	11.427007
25.5	45.5	270.5	16.369167
26.5	45.5	270.5	11.247293
27.5	45.5	270.5	13.503196
28.5	45.5	270.5	21.188009
29.5	45.5	270.5	18.157516
30.5	45.5	270.5	23.180979
31.5	45.5	270.5	25.852091
32.5	45.5	270.5	24.32
33.5	45.5	270.5	26.366365
34.5	45.5	270.5	28.360851
35.5	45.5	270.5	30.34
36.5	45.5	270.5	26.652615
37.5	45.5	270.5	32
38.5	45.5	270.5	27.615137
39.5	45.5	270.5	29.42
40.5	45.5	270.5	31.031019
41.5	45.5	270.5	30.786049
42.5	45.5	270.5	30.649446
43.5	45.5	270.5	32.720001
44.5	45.5	270.5	27.758522
45.5	45.5	270.5	30.199366
46.5	45.5	270.5	28.85
47.5	45.5	270.5	27.774149
48.5	45.5	270.5	25.879412
49.5	45.5	270.5	22.809999
50.5	45.5	270.5	28.17
51.5	45.5	270.5	26.950001
52.5	45.5	270.5	25.807735
53.5	45.5	270.5	29.639999
54.5	45.5	270.5	29.574657
55.5	45.5	270.5	31.6
56.5	45.5	270.5	30.84
57.5	45.5	270.5	31.190001
58.5	45.5	270.5	32.972443
59.5	45.5	270.5	31.807722
60.5	45.5	270.5	34.801056
61.5	45.5	270.5	35.549999
62.5	45.5	270.5	32.05798
63.5	45.5	270.5	32.976967
64.5	45.5	270.5	36.849148
65.5	45.5	270.5	35.965324
66.5	45.5	270.5	34.133713
67.5	45.5	270.5	32.501335
68.5	45.5	270.5	36.837936
69.5	45.5	270.5	32.826824
70.5	45.5	270.5	34.247746
71.5	45.5	270.5	28.450001
72.5	45.5	270.5	33.1189
73.5	45.5	270.5	33.078831
74.5	45.5	270.5	36.676445
75.5	45.5	270.5	34.649097
76.5	45.5	270.5	35.173008
77.5	45.5	270.5	34.899082
78.5	45.5	270.5	36.947792
79.5	45.5	270.5	35.165665
80.5	45.5	270.5	37.030296
81.5	45.5	270.5	34.917545
82.5	45.5	270.5	28.870001
